都道府県,性別,平均寿命,健康寿命,年少人口,老年人口,共働き,気温,湿度,降水量,雪日数,県所得,財政力指数,学歴大学,１次産業就業,２次産業就業,３次産業就業,完全失業率,図書館数,ボランティア活動,スポーツの行動者率,旅行・行楽行動者率,持ち家,公園数,病院数,医師数,交通事故件数,スマートフォン,喫煙率,毎日酒を飲む割合,軽く汗をかく運動,糖尿病,食塩摂取量,BMI,歩数,血圧薬の使用,ジニ係数,地域スポーツクラブ育成率,老人クラブ入会率,健康・医療サービス活動,まちづくり活動,う蝕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
島根県,男,79.51,78.5,12.6,32.5,32.79,15.4,77,"1,706",49,"2,424",0.229,11.8,8.3,23.4,65.5,4.6,50.6,34.8,60.9,69.2,71.8,30.96,6.3,265.1,199.9,826,32.6,0.47,0.227,4.8,11,23.9,7455.1,0.263618859,0.361,63.20%,0.211622175,3.8,23.3,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山県,男,79.77,78.8,13.1,28.7,26.52,16.2,70,"1,334",18,"2,800",0.484,16.1,4.8,26.7,63.6,7.2,31.4,31.3,60.3,70.7,67.6,69.99,7.8,287.8,553.1,"1,043",33.4,0.44,0.308,5.8,10.8,23.8,7340.3,0.238468078,0.342,77.80%,0.177645059,4.3,19.2,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広島県,男,79.91,78.97,13.4,27.5,25.35,16.6,65,"1,641",25,"3,060",0.566,18.1,3.3,25.3,66.6,5.4,30.5,28.9,62.7,74.5,62.6,132.74,7.5,252.2,392.1,"1,051",33.6,0.469,0.275,5.1,10.9,23.7,6927.9,0.232327992,0.348,87.00%,0.114183882,3.3,15.5,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山口県,男,79.03,78.14,12.2,32.1,24.91,15.9,75,"2,061",55,"3,125",0.409,13.5,5.4,26.2,66.3,5.9,36.1,31,62.3,71.2,67.3,65.86,8.5,244.8,407.7,849,31.8,0.471,0.302,6.6,11.6,23.5,7823.2,0.246371155,0.361,94.70%,0.105164843,3.6,15.4,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島県,男,79.44,77.59,11.7,31,26.92,17,69,"1,986",10,"2,878",0.3,14.3,8.5,23.4,64.4,7.6,37.2,24.3,57.5,66.5,71.8,25.19,12.8,303.3,511.6,"1,052",29.9,0.418,0.33,6.1,10.4,24,7839.6,0.259445775,0.369,91.70%,0.137941153,3,15.3,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香川県,男,79.73,78.77,12.8,29.9,27.62,16.9,68,"1,210",13,"2,798",0.443,16.5,5.7,24.9,67,6.3,29.2,27.8,59.5,70.7,71,48.45,8.2,268.3,801.3,998,31.6,0.413,0.313,7.1,10.8,24.2,7422,0.2520788,0.349,82.40%,0.207299129,3.5,15.6,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛媛県,男,79.13,78.14,12.4,30.6,24.65,16.8,70,"1,687",10,"2,543",0.396,14.8,8,23.8,65.3,7.3,30.9,27.4,60.2,65.2,66.3,35.32,9.2,254.3,367.2,"1,046",30.8,0.398,0.313,6.1,10.7,24.1,7516.5,0.243792325,0.353,85.00%,0.170682335,3.4,15.2,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高知県,男,78.91,78.27,11.6,32.8,24.67,17.5,71,"2,967",5,"2,447",0.233,11,12.1,17.1,68.1,7.7,44.9,23.7,54.7,56.7,65.8,71.6,16.1,293,328.3,873,35.4,0.484,0.349,6.1,10.1,24.1,6912,0.259943833,0.363,67.60%,0.110775315,4,12,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福岡県,男,79.3,78.71,13.4,25.9,21.82,17.3,71,"1,868",14,"2,831",0.596,16.3,2.9,19.8,71.8,7.8,22.6,27.3,59.6,72.1,53.8,212.37,7.9,292.9,778.9,"1,052",37.7,0.43,0.322,6.7,10.7,23,8276.8,0.243779032,0.362,85.00%,0.106096785,3.5,13.3,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佐賀県,男,79.28,78.93,14,27.7,31.74,17.1,72,"2,083",11,"2,513",0.312,12.3,9.2,23.5,64.2,6.3,34.2,31.8,57.8,68.4,70.5,19.34,11.3,266.1,"1,027.90","1,093",39.6,0.425,0.293,6.6,10.6,23.3,7623.6,0.239438147,0.344,90.00%,0.232668492,3.5,19.6,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
